fingerprint,rec_id,asof,strategy_version,universe,horizon_d,symbol,weight,buy_price,mature_date,exit_price,actual_ret,holding_days,holding_months,rank,universe_n,hit_top25,regime,scored,source
REC-20221007-0081,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,IOC,0.058,67.45,2023-01-06,80.05,18.68,63,3.0,22.0,223.0,1.0,Weak,1,historical
REC-20221007-0082,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,SJVN,0.0742,32.7,2023-01-06,34.45,5.35,63,3.0,78.0,223.0,0.0,Weak,1,historical
REC-20221007-0083,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,RVNL,0.0513,36.0,2023-01-06,72.45,101.25,63,3.0,1.0,223.0,1.0,Weak,1,historical
REC-20221007-0084,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,DRREDDY,0.0573,875.33,2023-01-06,854.35,-2.4,63,3.0,134.0,223.0,0.0,Weak,1,historical
REC-20221007-0085,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,BHARTIARTL,0.0528,793.1,2023-01-06,796.0,0.37,63,3.0,111.0,223.0,0.0,Weak,1,historical
REC-20221007-0086,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,PIDILITIND,0.0597,1331.3,2023-01-06,1261.15,-5.27,63,3.0,151.0,223.0,0.0,Weak,1,historical
REC-20221007-0087,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,BAJAJ-AUTO,0.063,3603.55,2023-01-06,3642.25,1.07,63,3.0,105.0,223.0,0.0,Weak,1,historical
REC-20221007-0088,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,ATUL,0.0493,8900.4,2023-01-06,7829.05,-12.04,63,3.0,191.0,223.0,0.0,Weak,1,historical
REC-20221007-0089,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,HCLTECH,0.0488,957.7,2023-01-06,1032.8,7.84,63,3.0,64.0,223.0,0.0,Weak,1,historical
REC-20230106-0090,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,PETRONET,0.0713,217.9,2023-04-12,231.45,6.22,63,3.0,56.0,224.0,1.0,Neutral,1,historical
REC-20230106-0091,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,TORNTPHARM,0.1048,1546.5,2023-04-12,1587.65,2.66,63,3.0,80.0,224.0,0.0,Neutral,1,historical
REC-20230106-0092,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,BAJAJ-AUTO,0.0697,3642.25,2023-04-12,4286.0,17.67,63,3.0,9.0,224.0,1.0,Neutral,1,historical
REC-20230106-0093,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,ITC,0.0663,293.56,2023-04-12,350.46,19.38,63,3.0,7.0,224.0,1.0,Neutral,1,historical
REC-20230106-0094,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,ALKEM,0.0976,3031.35,2023-04-12,3340.6,10.2,63,3.0,34.0,224.0,1.0,Neutral,1,historical
REC-20230106-0095,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,UBL,0.0638,1657.55,2023-04-12,1383.75,-16.52,63,3.0,207.0,224.0,0.0,Neutral,1,historical
REC-20230106-0096,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,PIDILITIND,0.0715,1261.15,2023-04-12,1173.9,-6.92,63,3.0,144.0,224.0,0.0,Neutral,1,historical
REC-20230106-0097,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,IOC,0.0697,80.05,2023-04-12,78.0,-2.56,63,3.0,113.0,224.0,0.0,Neutral,1,historical
REC-20230106-0098,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,ICICIBANK,0.0462,870.1,2023-04-12,890.15,2.3,63,3.0,85.0,224.0,0.0,Neutral,1,historical
REC-20230106-0099,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,BHARTIARTL,0.0689,796.0,2023-04-12,771.1,-3.13,63,3.0,119.0,224.0,0.0,Neutral,1,historical
REC-20230106-0100,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,HDFCBANK,0.0406,797.2,2023-04-12,842.45,5.68,63,3.0,61.0,224.0,0.0,Neutral,1,historical
REC-20230106-0101,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,LT,0.0393,2086.55,2023-04-12,2288.5,9.68,63,3.0,37.0,224.0,1.0,Neutral,1,historical
REC-20230106-0102,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,OFSS,0.0662,2996.3,2023-04-12,3312.5,10.55,63,3.0,31.0,224.0,1.0,Neutral,1,historical
REC-20230106-0103,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,TCS,0.0431,3211.55,2023-04-12,3241.65,0.94,63,3.0,92.0,224.0,0.0,Neutral,1,historical
REC-20230106-0104,2023-01-06_63,2023-01-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,RELAXO,0.081,896.4,2023-04-12,813.95,-9.2,63,3.0,167.0,224.0,0.0,Neutral,1,historical
REC-20230412-0105,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,COLPAL,0.0864,1556.65,2023-07-13,1809.7,16.26,63,3.0,101.0,224.0,0.0,Strong,1,historical
REC-20230412-0106,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,TATACONSUM,0.0748,718.4,2023-07-13,837.0,16.51,63,3.0,101.0,224.0,0.0,Strong,1,historical
REC-20230412-0107,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,OFSS,0.0689,3312.5,2023-07-13,3842.8,16.01,63,3.0,104.0,224.0,0.0,Strong,1,historical
REC-20230412-0108,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,TORNTPHARM,0.0676,1587.65,2023-07-13,1934.6,21.85,63,3.0,70.0,224.0,0.0,Strong,1,historical
REC-20230412-0109,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,SUNPHARMA,0.0663,1016.7,2023-07-13,1075.0,5.73,63,3.0,170.0,224.0,0.0,Strong,1,historical
REC-20230412-0110,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,WIPRO,0.0593,186.08,2023-07-13,197.38,6.07,63,3.0,167.0,224.0,0.0,Strong,1,historical
REC-20230412-0111,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,PIDILITIND,0.0717,1173.9,2023-07-13,1309.5,11.55,63,3.0,133.0,224.0,0.0,Strong,1,historical
REC-20230412-0112,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,ICICIGI,0.068,1090.85,2023-07-13,1356.0,24.31,63,3.0,54.0,224.0,1.0,Strong,1,historical
REC-20230412-0113,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,BATAINDIA,0.0705,1392.6,2023-07-13,1659.0,19.13,63,3.0,85.0,224.0,0.0,Strong,1,historical
REC-20230412-0114,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,KOTAKBANK,0.0783,368.81,2023-07-13,374.0,1.41,63,3.0,191.0,224.0,0.0,Strong,1,historical
REC-20230412-0115,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,MARUTI,0.0593,8621.05,2023-07-13,9671.0,12.18,63,3.0,129.0,224.0,0.0,Strong,1,historical
REC-20230412-0116,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,GRASIM,0.0618,1710.58,2023-07-13,1752.76,2.47,63,3.0,187.0,224.0,0.0,Strong,1,historical
REC-20230412-0117,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,ASIANPAINT,0.0548,2786.75,2023-07-13,3400.0,22.01,63,3.0,69.0,224.0,0.0,Strong,1,historical
REC-20230412-0118,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,NTPC,0.0577,175.8,2023-07-13,188.3,7.11,63,3.0,161.0,224.0,0.0,Strong,1,historical
REC-20230412-0119,2023-04-12_63,2023-04-12,AEGIS Core v2.2 (2026-06-22),nifty200,63,BHARTIARTL,0.0545,771.1,2023-07-13,884.95,14.76,63,3.0,112.0,224.0,0.0,Strong,1,historical
